image_path,caption
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/120375.jpg,A street filled with lots of people and tall buildings.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/369472.jpg,A baseball player wearing a green and white uniform.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/550359.jpg,a bathroom with a sink and a toilet in it
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/36966.jpg,A white bowl of food on a table.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/47451.jpg,Two blue parking meters sitting on a sidewalk.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/75254.jpg,A giraffe standing next to a rocky mountain.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/326734.jpg,a couple of bowls of food that is on a table
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/234649.jpg,Two  different street signs on a stone building.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/527056.jpg,A red table topped with pants and plates of food.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/406242.jpg,"Two computer monitors, a keyboard and mouse on a desk."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/448253.jpg,a boat that is floating in some water
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/346562.jpg,a public transit bus parked in a parking lot
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/485261.jpg,this is a messy bed sitting next to a window on a snowy day
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/80745.jpg,Some green bananas and yellow bananas bunched together.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/551888.jpg,"a bathroom with a sink, mirror on a tiled floor with a door open"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/182645.jpg,"An office with a laptop, monitor, keyboard, file cabinet and wall clock."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/344920.jpg,"The compact room with double beds has the bare necessities, but with surprising flooring."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/319354.jpg,The back end of a parked car with an umbrella on the ground next to it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/392219.jpg,Traffic lights are hanging from a traffic pole.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/37291.jpg,The kitten is enjoying the treats on the plate.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/141304.jpg,A Frito Lay van is on the side of the street.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/547869.jpg,A table has dishes and food on it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/275830.jpg,A car driving under a traffic light down a street.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/562205.jpg,A cat standing near a cup that is sitting on the ground.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/119979.jpg,Two girls at a frisbee sporting event with onlookers.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/100319.jpg,A very tall white building sitting next to a street filled with traffic.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/393108.jpg,A woman taking a picture of herself with her cell phone. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/453930.jpg,A person with an animal hat on with an open umbrella. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/494297.jpg,A doughnut with a giant doughnut over it's face.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/28288.jpg,A foot long hot dog in a bun covered in ketchup.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/517408.jpg,A man riding skis on top of a snow covered slope
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/550610.jpg,A retro yellow tour bus parked in front.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/573046.jpg,A guy holding a white umbrella and light on the beach at night.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/447484.jpg,A man about to hit a ball on the tennis court.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/423349.jpg,"Front view of shop on the corner of a street
"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/202388.jpg,A man in a baseball uniform swinging a bat.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/181649.jpg,A small gray and brown dog holding a white teddy bear.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/442518.jpg,A man catching the baseball behind home plate in practice.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/405209.jpg,A warning sign in the middle of water with a fire hydrant in the foreground.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/390829.jpg,a little boy that is playing with a wii
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/26356.jpg,this is a woman feeding a pair of sheep
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/110459.jpg,The man in a suit has a blue shirt and tie.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/984.jpg,A person pulling apart a bunch of bananas in a box.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/109515.jpg,A man riding a skateboard up a ramp at a skate park.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/346576.jpg,a little boy is outside holding up a kite
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/379470.jpg,A patio table surrounded by chairs on a patio.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/472630.jpg,A little girl walking along a skate park.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/221420.jpg,A man sitting in a chair in front of an open laptop.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/327768.jpg,A kitchen has wooden cabinets and a sink.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/399054.jpg,Man squinting at the camera while using a Wii controller.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/77569.jpg,there is a all white motorcycle on display
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/169510.jpg,A group of men standing around bunches of unripe bananas.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/442326.jpg,a cargo train going down a track close to the free way 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/530670.jpg,a large hotdog is in a persons hand
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/340598.jpg,A couple of adorable dogs laying on top of a bed.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/88825.jpg,A lady with boots stands next to the sea with a toothbrush in her mouth
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/46009.jpg,A couple of zebra standing next to each other in an enclosure.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/81964.jpg,"A plate of food with tomatoes, broccoli and strawberries on it. "
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/337255.jpg,A man is home napping on the couch
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/427251.jpg,A black cat sits on top of papers next to a computer
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/496509.jpg,A woman sitting in front of a laptop computer.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/378278.jpg,"grapes, lemon, and an apple in a wicker basket"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/79808.jpg,a clock on a tower on top of a building
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/29671.jpg,A fire hose that is rollled up and connected to a water source.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/166575.jpg,A group of zebras grazing in a field. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/540923.jpg,A plate with a slice of chicken pot pie on it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/489622.jpg,a black and white picture of a little girl holding a teddy bear 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/133885.jpg,A blender on display on a shelf with a price tag underneath it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/294574.jpg,"A large red, green and white circle stands on a tarmac."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/85847.jpg,Small boats line a narrow shore in a creek
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/333894.jpg,A fleet of air crafts are flying through the air.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/35427.jpg,"some bowls of food, one with broccoli, the other with some chow mein noodles"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/505858.jpg,A zebra peering into a vehicle on the roadside.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/213069.jpg,A white toilet in a small room with tiled floors.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/234084.jpg,This is a landscape view of a church with a clock tower.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/215657.jpg,Office cubicle with a backpack sitting on computer chair
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/230070.jpg,A single zebra is looking at the camera man. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/300277.jpg,A toilet sitting below a window next to a sink.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/209667.jpg,A couple of people on a sidewalk holding umbrellas.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/368983.jpg,A bench is chained to the building door.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/426690.jpg,The black and white cat is sitting in the bathroom sink
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/1424.jpg,Several people around a table getting ready to cut into a cake.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/64619.jpg,A man blows out a candle on a cake.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/338235.jpg,"A small glass vase with a blue, yellow and white flower inside it"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/278737.jpg,A young boy playing baseball swinging as the batter.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/131524.jpg,A large clock tower with a large white clock.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/172655.jpg,A brown calf with a blue tag in it's ear and other cattle behind it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/1822.jpg,"A room with a rug, table, and chairs, and other items"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/250789.jpg,A toilet in the stall of a public restroom.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/572206.jpg,A pedestal toilet stands next to a claw footed bath tub.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/399500.jpg,Man engaging in the recreational activity of downhill skiing
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/502482.jpg,A skateboarder is riding the green ramp. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/441152.jpg,A vase of flowers next to a cupcake on a plate
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/326484.jpg,A group of people playing a video game on Nintendo Wii.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/575476.jpg,tHERE IS A MAN SMILING AND HOLDING A TRAY OF DONUTS
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/81043.jpg,A row of bathroom mirror reflect the stalls opposite. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/250543.jpg,A cat stands on the chest of a man using a laptop.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/552138.jpg,A large clock mounted to the side of a clock tower.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/275603.jpg,"A fenced in field with two giraffes, one laying down."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/162937.jpg,A small boat drives on a lake surrounded by trees.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/313600.jpg,"Spring rolls covered with cheese with soy dipping sauce.
"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/258364.jpg,A young man walking up a hill carrying a snow board.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/460405.jpg,A herd of giraffe standing on top of a grass covered field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/332549.jpg,A white bath tub with tiled walls next to a toilet.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/229616.jpg,A parked fighter jet on display in front of a crowd.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/518866.jpg,A small boat is sitting in the middle of blue waters.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/420615.jpg,A white toilet and a sink in a room.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/114686.jpg,A fishing boat in the water near a house in the grass.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/82486.jpg,Altered photograph of a couple embracing by old luggage in a paddock
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/561394.jpg,"View of bathroom with bathtub with shower curtain, high window, large wall mirror, sink and vanity with a jar, a tray with two candles, and a vase pot with greenery."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/72133.jpg,A street corner with a box on it is shown.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/325548.jpg,Two bags full of oranges sitting on a wooden floor.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/217571.jpg,An airplane is taking off of a runway.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/409165.jpg,A man holding a tennis racket and a ball in his hands. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/156455.jpg,A flower in a tree that looks like a bunch of bananas.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/390797.jpg,A young woman holding a yellow banana up to her face.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/562593.jpg,a woman eating donuts from strings on a porch.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/8568.jpg,A office desk with a computer and several monitors on the desk.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/217978.jpg,two dogs in a back yard with pots with flowers
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/456800.jpg,A woman on a surfboard in the ocean waves.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/5967.jpg,A large passenger jet on top of an airport runway.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/451738.jpg,Two giraffes walk through the tall grass. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/431322.jpg,A lone zebra standing in a green field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/2342.jpg,Tho giraffes close up looking over the fence.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/516273.jpg,Food and drink on a table outside 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/546114.jpg,Black refrigerator sitting in between wall and white cabinet. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/148301.jpg,A cat with a red collar is asleep on the bed.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/242544.jpg,a woman is standing in front of a horse
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/530187.jpg,Two beds and other furniture inside a hotel room
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/524050.jpg,a side view mirror  and some signs and building
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/544606.jpg,A large bed in a room underneath a window.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/567637.jpg,A man putting melted cheese on food in foil in a food truck
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/290122.jpg,People with luggage standing in front of lockers.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/178112.jpg,A baseball player had just thrown a ball. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/351242.jpg,A plate topped with three hot dogs on buns.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/123066.jpg,a plate with a frosted cake on it next to a banana 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/118581.jpg,A view of a beach with closed umbrellas at sunset.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/272064.jpg,The man is swinging at the tennis ball with a racquet.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/76414.jpg,A couple of men who are working on a boat.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/335902.jpg,RV parked on side of road with two orange warning cones set at its side
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/161648.jpg,a white antique stove with some pots and pans on it
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/457263.jpg,a small salad and large sandwich on a tray
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/158261.jpg,A giraffe standing up looking out a fence. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/199732.jpg,A group of trucks sitting on top of a dirt field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/48805.jpg,A dog seems to be observing something from the water. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/386468.jpg,A group of girls playing a game with remote controllers.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/288650.jpg,A light that is on above a mirror in a picture of a bathroom.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/55728.jpg,A man is sitting by a shelf full of luggage.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/535126.jpg,A bed sitting in a bedroom under a wall mounted painting.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/159346.jpg,A bunch of people sit around in their pajamas drinking.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/479687.jpg,Men sit on a bench in front of a shop and one has a hat and a cane.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/88527.jpg,a close up of a person wearing a tie
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/380163.jpg,A red and silver airplane flying in the sky.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/486541.jpg,A traffic light with a red and white hazard sign sitting above it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/123456.jpg,Bicycle dressed as an octopus pulling a small cart.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/152354.jpg,A passenger bus that is pulled up to the side of a street.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/16720.jpg,An American Flag flies atop a clock tower at sports stadium Coors Field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/194372.jpg,A girls legs with a cat at her feet 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/409834.jpg,Business men and women are sitting at a long table listening attentively.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/131812.jpg,The young man is practicing riding hid skateboard. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/84784.jpg,People are standing by a train moving along tracks.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/499082.jpg,A bird sitting on a house eave in a backyard.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/455037.jpg,A batter is stepping up to the plate at a game.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/413391.jpg,A couple of kids playing with a white ball in a  field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/303308.jpg,A refrigerator freezer next to a stove top oven.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/95124.jpg,A woman with a handbag walking up some stairs.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/173019.jpg,A woman in a kitchen has a dog by her side.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/10621.jpg,The man is helping the child ride a pony.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/108313.jpg,A skate board rider tiptoes on his board
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/336129.jpg,a woman standing in front of the camera while another person walks down the hill with their skiis
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/391325.jpg,Three little kids kicking around soccer balls on a lush green field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/256013.jpg,A wooden table with a white plate and bowl of soup.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/432598.jpg,A child's bedroom with stuffed animals on a wall shelf.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/527010.jpg,A little boy riding on a skate board wearing no shoes.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/366349.jpg,A brown teddy bear wearing glasses and reading a book.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/53842.jpg,A very tall building with a massive clock tower.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/215334.jpg,A  man riding a snowboard up the side of a ramp.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/510456.jpg,A laptop is set on top of a cardboard box on a metal desk.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/177050.jpg,The man is serving himself a piece of cake.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/354402.jpg,A traffic sign that reads END sitting next to a tree.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/35037.jpg,The skateboarder wearing a cap is riding near a yellow curb.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/107783.jpg,Bathroom with white tiled walls and a tankless commode
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/292034.jpg,"A bright day scene with snow, pine trees and people walking."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/266976.jpg,this is a green kitchen with a sink
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/181348.jpg,A living room with blue furniture and a fire place.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/211807.jpg,An airplane sits on the tarmac at an airport.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/347787.jpg,A computer loaded to a social networking site on a desk. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/221684.jpg,A group of animals walking down a dirt road.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/443941.jpg,a black and gold street sign and a building
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/109393.jpg,A day laying next to a cat on a cement block.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/10037.jpg,"Plates of oranges, apples, a doughnut, and pastry."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/370162.jpg,A crowd of people standing around a table full of food.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/286860.jpg,a sign is on a white toilet in a bathroom
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/352082.jpg,A train traveling down railroad tracks next to a train station.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/308603.jpg,A man riding on a big elephant in water.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/246166.jpg,Man speaking emphatically on a cell phone in house
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/83783.jpg,two people riding horses on a beach near water
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/488149.jpg,"Three friends standing next to each other flying a kite.
"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/465776.jpg,A herd of giraffe walking along a river next to a baby elephant.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/51047.jpg,a red table holding tow white plates with donuts and a beverage.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/547979.jpg,People on surfboards waiting for a wave in a calm sea
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/34478.jpg,A woman in black shirt and sunglasses on a cellphone.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/439124.jpg,A large pony with a small pony drinking it's milk.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/145551.jpg,An airplane with stripes parked on a runway
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/410711.jpg,A clock on a wall and a light fixture on a ceiling.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/347128.jpg,A toilet with the lid and seat up in a tiled bathroom.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/56676.jpg,A group of people with rackets stand together.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/249445.jpg,A dog is laying down on the remote control. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/65043.jpg,A woman walking across a beach holding a surfboard.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/355481.jpg,A field filled with motorcycles near tents surrounded by a forest.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/177325.jpg,a plate with a sandwich and a glass of soda
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/548184.jpg,A small girl is pulling a piece of luggage.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/428109.jpg,A bunch of bananas with a sign stating they are free
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/23025.jpg,A girl playing a game on a laptop computer on an outdoor table.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/197329.jpg,A GROUP OF GIRAFFES AND ZEBRAS GRAZING TOGETHER
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/458827.jpg,two people riding skate boards on a city street
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/120882.jpg,A black dog is carrying a frisbee in its mouth on a beach.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/264846.jpg,Two men are standing near as the woman is playing tennis. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/408730.jpg,"A den with tables, couches, chairs, a lamp and pictures."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/347665.jpg,A computer sitting on a desk with a coffee cup sitting in front of it.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/572965.jpg,A person using a skateboard on a rail.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/162769.jpg,A chef holding up carrots in his hands. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/497227.jpg,A teddy bear sitting in a stroller next to a painting outside. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/138749.jpg,A man and woman walking on the beach
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/130037.jpg,A large black bear swimming in a river next to a muddy shore.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/153888.jpg,A fighter jet sitting on top of an airport runway.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/412641.jpg,Two small slices of pie are on the plate. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/2244.jpg,A blue children s laptop computer sitting on top of a counter
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/195699.jpg,A group of sweet treats sitting on top of a white plate.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/157041.jpg,A zebra standing in dry grass has dark and light stripes
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/379865.jpg,a couple of people that are on a skate board
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/341219.jpg,a three year old girl with her birthday cake
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/201738.jpg,A man standing in a room with items scattered on the floor.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/158017.jpg,a bathroom with a bath tub a sink and a mirror
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/525766.jpg,a person sitting on rocks near a river with a dog
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/289644.jpg,Broccoli and chicken are cooking in a wok. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/134955.jpg,A desert sitting in a plate that has congratulations written in chocolate
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/315268.jpg,A piece of fish with rice and a lemon around it. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/452343.jpg,A long train traveling along train tracks and a few tall buildings.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/195508.jpg,"Close up of snap peas, peppers, carrots, broccoli, and more"
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/135244.jpg,A silver plane in a field with a red and black plane behind it. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/374916.jpg,Apples and leaves on the ground with a cat in the background.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/322562.jpg,A boat that is in a lake by some houses.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/467727.jpg,Elephant standing in front a fence next to a house.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/191327.jpg,A line of motorcycles are parked in a row ranging from vintage to rocket.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/556222.jpg,A group of people standing around a playing a game of frisbee.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/474383.jpg,A chair with a pillow on it sitting in ront of a coffee table.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/373076.jpg,this is a bird sitting on a table with food
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/53330.jpg,The intersection of a city street at a red light 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/192878.jpg,A couple of people sitting on a couch with remotes.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/347884.jpg,A man squats while rummaging through a refrigerator.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/323592.jpg,a nice table full of fresh clean  vegetables 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/252937.jpg,two men with no shirts next to a dog and a surfboard
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/352498.jpg,A small freight train moving down the tracks.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/157300.jpg,A lonely bench on a rocky climb with blue skies. 
